OBJECTID,ROADSEGMENTID,CARTO_CLASS,SUBCATEGORY,STREET,FROM_STREET,TO_STREET,FROM_LEFT_ADDRESS,TO_LEFT_ADDRESS,FROM_RIGHT_ADDRESS,TO_RIGHT_ADDRESS,REGIONAL_ROAD,LANES,OWNERSHIP,FLOW_DIRECTION,SOURCE,SOURCE_DATE,SPEED_LIMIT,AADT,AADT_YEAR,TRUCK_ACCESS,Shape__Length
58603,6303,Arterial,MAJOR,FISCHER HALLMAN RD,C_PKY WAT OFFRAMP,OTTAWA ST S,,,,,REGIONAL RD 58,7,REG,TwoWay,REG PLAN 748,2002/08/13 00:00:00+00,,,,24HR,176.744077782029
58614,10185,Arterial,MAJOR,WEBER ST E,ONWARD AVE,EAST AVE,330,382,359,399,REGIONAL RD  8,4,REG,TwoWay,REG PLAN 655,2003/04/22 00:00:00+00,,,,7-7 MON-FRI,222.535237595456
58615,6885,Arterial,MAJOR,WEBER ST E,KRUG ST,MADISON AVE N,116,136,121,131,REGIONAL RD  8,4,REG,TwoWay,REG PLAN 370,2003/04/22 00:00:00+00,,,,7-7 MON-FRI,127.385409258838
58619,602990,Arterial,MAJOR,FISCHER HALLMAN RD,WEST OAK TRAIL,HURON RD,1686,1696,,,REGIONAL RD 58,3,REG,TwoWay,58R-7094,2002/08/13 00:00:00+00,60,12858,2015,24HR,153.981664706626
58622,22448,Arterial,MAJOR,FAIRWAY RD N,BRIARMEADOW DR,FAIRWAY CRES,750,750,,,REGIONAL RD 53,3,REG,TwoWay,REG PLAN 1647,2003/12/18 00:00:00+00,,,,NO ACCESS,287.429625346058
58623,23063,Arterial,MAJOR,FAIRWAY RD N,JANSEN AVE,THALER AVE,132,168,125,165,REGIONAL RD 53,4,REG,TwoWay,REG PLAN 589,2003/04/22 00:00:00+00,,,,24HR,192.883316224146
58630,600734,Arterial,MAJOR,IRA NEEDLES BLVD,HIGHLAND RD W,VICTORIA ST S,235,235,220,220,REGIONAL RD 70,4,REG,TwoWay,30T-02205-DA,2003/12/18 00:00:00+00,,,,24HR,605.23664972668
58635,22324,Arterial,MAJOR,FAIRWAY RD S,FAIRWAY RD N,KING ST BYPASS ONRAMP,41,41,30,40,REGIONAL RD 53,6,REG,TwoWay,REG PLAN 863,2003/04/22 00:00:00+00,,,,24HR,489.938900720426
58640,8767,Arterial,MAJOR,VICTORIA ST S,PARK ST,HENRY ST,169,183,170,186,REGIONAL RD 55,5,REG,TwoWay,REG PLAN 107,2003/04/22 00:00:00+00,,,,24HR,83.478097426667
58645,20800,Arterial,MAJOR,VICTORIA ST S,FISCHER HALLMAN RD,OPRINGTON DR,,,,,REGIONAL RD 55,5,REG,TwoWay,REG PLAN 1713,2003/04/22 00:00:00+00,,,,NO ACCESS,350.141054074988
58647,31310,Roundabout,MAJOR,IRA NEEDLES BLVD,IRA NEEDLES BLVD,UNIVERSITY AVE W,,,,,REGIONAL RD 70,2,REG,FromTo,PUBLIC,2006/12/22 00:00:00+00,,,,24HR,33.4076253247746
58649,602124,Roundabout,MAJOR,IRA NEEDLES BLVD,IRA NEEDLES BLVD,HIGHLAND RD W,,,,,REGIONAL RD 70,2,REG,FromTo,PUBLIC,2006/12/22 00:00:00+00,,,,24HR,35.0208013862372
58667,23167,Arterial,MAJOR,OTTAWA ST N,MCGEE AVE,SHAFTSBURY DR,,,,,REGIONAL RD  4,5,REG,TwoWay,REG PLAN 1202,2003/04/22 00:00:00+00,,,,24HR,167.236237753017
58669,20757,Arterial,MAJOR,HIGHLAND RD W,EAGEN DR,HIGHLAND CRES,,,,,REGIONAL RD  6,5,REG,TwoWay,REG PLAN 1196,2003/04/22 00:00:00+00,,,,24HR,163.550864393804
58670,15830,Arterial,MAJOR,EDNA ST,C_PKY STR ONRAMP,MANSION ST,70,70,61,61,REGIONAL RD 62,4,REG,TwoWay,REG PLAN 653,2003/04/22 00:00:00+00,,,,7-7 MON-SAT,56.3539441927913
58671,15832,Arterial,MAJOR,EDNA ST,MANSION ST,FREDERICK ST,84,96,,,REGIONAL RD 62,4,REG,TwoWay,REG PLAN 724,2003/04/22 00:00:00+00,,,,7-7 MON-SAT,131.254639961442
